Column1,Column2,Hourly Taxed,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Minimum
Edwin van der Sar,89,360050,400000,386000,405000,397000,404500,399000,402000,400000,396000,400000,389000,400000,418000,400000,391500,404000,394500,417500,408500,395000,383000,394500,379000,,379000
Sol Campbell,89,638400,682000,679500,679000,704000,690000,681000,679000,692000,689000,695000,698000,698000,698000,690000,674500,701500,690000,683333,677000,681000,672000,674500,674000,,672000
Fernando Hierro,89,208050,219000,238000,232500,235500,235000,235000,230000,225000,233000,230000,235000,235000,244000,235500,237000,245000,230000,248000,249000,249000,247500,235000,248667,,219000
Laurent Blanc,89,676400,718000,718000,723000,720000,735500,725000,724000,722000,738500,745000,745000,722500,749000,737500,730000,732000,712000,743000,725000,732000,716000,723500,719500,,712000
Bobby Moore,89,171000,185500,182000,192500,194000,187000,190000,180000,191000,192500,190000,191500,189500,184500,187500,194000,190000,194000,195000,198500,198000,199000,197000,194000,,180000
Fabio Cannavaro,89,363850,395000,396000,393000,383000,397333,388000,388000,413000,408500,406500,406000,405500,405000,401000,404000,408000,424000,417500,420000,413000,405000,399000,400000,,383000
Gennaro Gattuso,89,342000,394000,385000,442667,387000,389000,380000,380000,379000,369500,369000,375000,365000,369000,361500,360000,373000,365000,420000,430000,430000,438500,389000,366000,,360000
Paul Scholes,89,211375,231000,230000,235000,234000,234000,226000,231500,228000,224500,237000,232000,232000,241000,237333,230000,230000,222500,237000,231000,239000,234000,237000,239000,,222500
Pavel Nedved,89,435100,459000,482000,471500,464000,470000,467000,469000,470000,465000,466000,458000,469000,466000,470000,470000,475000,470000,469000,465000,486000,478000,477000,475000,,458000
Michael Laudrup,89,136800,150000,151000,150000,147000,157000,155000,155000,152500,150000,145000,149000,148000,153500,144000,153500,149500,152000,151500,149000,155000,151000,154000,149500,,144000
Gheorghe Hagi,89,323000,370000,354000,363000,370000,367500,373000,370667,365000,363500,367000,359000,359000,380000,360500,347000,340000,340000,350000,355000,340000,354000,349500,348000,,340000
Steven Gerrard,89,616550,665000,660000,692000,707500,698000,695000,669667,649000,649000,649000,695000,657000,695000,676333,662000,659000,649000,686000,670000,670000,689000,672333,670000,,649000
Socrates,89,503500,530000,536500,530000,550000,567000,548000,548000,558000,566000,568000,566000,566000,565500,565667,558500,562000,570500,552000,554000,570000,555000,547000,569000,,530000
Michael Ballack,89,627000,718000,701000,707500,704500,687667,686000,692500,693000,690000,690000,693000,693000,693000,691000,684500,660000,660000,697500,666000,708500,684000,690000,694000,,660000
Ryan Giggs,89,150100,168000,176000,175000,177000,171500,164500,172500,175000,170000,161000,158000,175000,175000,173000,169000,177500,169000,169000,172000,170000,169000,168333,167000,,158000
David Trezeguet,89,167200,190000,185000,199000,198000,194000,191500,180000,183000,176000,190000,190000,190000,183500,180000,190500,180000,185000,184000,195000,190500,188000,195000,200000,,176000
Alan Shearer,89,173850,186500,183000,191000,190000,192500,193000,193000,197000,198000,196500,199000,194000,199000,200500,194000,198000,197500,199000,191500,190000,193500,187000,193000,,183000
Gary Lineker,89,289750,329000,307000,305000,311000,324000,319000,327000,324000,323500,315000,326000,335000,329500,319000,315000,325000,336500,330000,337000,329000,344000,337000,330000,,305000
Miroslav Klose,89,164350,180000,182000,190000,185000,195000,198500,195000,200000,195667,181000,190000,186000,183500,173000,180000,184000,199000,194500,187500,187500,180000,195000,190000,,173000
Marco van Basten,89,246050,284500,285000,277500,273500,261500,259000,278000,268500,260000,263000,269000,269000,278000,277000,280000,278500,285000,275000,275000,279000,283500,276000,278000,265000,259000
Eusebio,89,3420000,3690000,3680333,3630000,3635000,3707500,3645000,3750000,3750000,3750000,3735000,3710000,3700000,3690000,3639000,3669000,3659500,3668000,3675000,3660500,3647500,3637500,3638000,3629000,3600000,3600000
Ronaldinho,89,1187500,1362500,1315000,1295000,1346000,1295000,1329000,1310000,1310000,1309500,1309000,1309000,1309000,1270500,1309000,1275000,1304000,1312500,1284000,1283000,1250000,1255000,1261000,1275000,1250000,1250000
Roberto Baggio,89,322050,358000,354500,359000,350000,370000,360000,372000,374000,374000,374000,374000,374000,367000,360000,358000,350000,339000,385500,382333,377000,375000,368000,355000,370000,339000
Johan Cruyff,89,2434375,2610000,2609000,2665000,2636333,2622500,2600000,2612500,2565000,2565000,2603500,2599000,2690000,2562500,2576000,2600000,2662333,2570000,2895000,2626333,2616500,2571500,2575000,2599000,2598000,2562500
Juan Roman Riquelme,89,196650,236000,216333,210000,231000,225000,215000,220000,210000,210000,221000,224500,215000,215000,224000,214000,210000,214000,210000,214500,213500,232333,207000,225000,220000,207000
Ferenc Puskas,89,1509550,1650000,1650000,1870000,1690000,1736500,1722000,1729000,1712500,1702500,1695000,1700000,1650000,1674667,1659000,1659000,1649000,1628000,1645000,1620000,1630000,1607500,1594500,1589000,1598000,1589000
Phillip Lahm,89,931000,1071667,1044000,1012500,1040667,1013500,980000,1094500,1090000,1081667,1020000,1000000,1077000,1040000,1000000,1047000,1024667,1000000,999000,1005000,1048000,1098000,1075000,1035000,1039000,980000
Bastian Schweinsteiger,89,427500,467500,470000,463000,460000,471500,474000,470000,478500,465000,465000,456000,469000,464000,469000,467000,462000,480000,479333,470000,477500,476000,450000,494500,499000,450000
Ashley Cole,89,522500,554500,550000,570000,582000,573500,560000,574000,573000,573000,573000,568500,568000,568000,561000,580000,593000,584000,588000,607500,584500,575000,560000,622000,599000,550000
David Beckham,89,456000,500000,504000,502500,495000,520000,517000,511000,480000,480000,500000,501500,497000,487500,497000,512000,509000,509500,504500,493000,493000,510000,520000,535000,535000,480000
Andrea Pirlo,88,299250,316000,318000,329000,319000,315000,327500,344000,345000,338000,339000,340000,335000,335000,346500,345000,334500,347500,341000,337000,338000,337500,340000,359000,,315000
Ronald Koeman,88,361000,380000,403000,422500,425000,407000,405333,400000,405000,410000,410000,410000,410000,410000,409000,416000,413000,405000,404000,400000,405000,408500,426000,419000,,380000
Rio Ferdinand,88,645050,688500,728500,707500,714500,715000,719500,709500,700000,718500,716000,714000,711333,700000,684500,679000,685000,717000,732000,724500,719000,726000,714000,725000,,679000
Marcel Desailly,88,693500,760000,763500,749333,748000,754000,754500,747500,730000,745000,736000,775000,766500,761500,740000,755500,741000,774000,769500,783500,750000,764500,760000,750000,,730000
Roberto Carlos,88,622250,675000,672500,665000,670000,699000,700000,684000,681000,680000,688000,733000,686000,695000,667500,655000,680000,669000,700000,699000,688000,683500,700000,705667,,655000
Javier Zanetti,88,318250,360500,364500,365000,350000,370000,365000,358000,345000,335000,370000,370000,360000,385000,370000,363500,376500,373000,380000,360000,350000,380000,380000,376500,,335000
Alessandro Nesta,88,213750,238500,237000,230000,235000,242000,235000,235000,235000,235000,241500,234500,230000,226000,225000,230000,243000,242000,239500,239000,240500,241500,235000,236000,,225000
Franco Baresi,88,188100,208000,200000,201000,206000,213333,198000,211000,217000,217000,218000,218000,210000,210000,209000,200000,208000,209000,218000,219000,217000,212500,440000,350000,,198000
Paolo Maldini,88,636500,675000,670000,670000,679500,709000,703000,689000,709000,711000,700000,705000,705000,700000,690000,710500,700000,687000,684000,699000,690000,680000,685000,675000,,670000
Hidetoshi Nakata,88,232275,253000,256000,252000,263000,268000,294500,272500,260000,260000,260000,295000,288333,270000,263000,249000,247500,250000,257000,244500,249000,252000,350000,268500,,244500
Juan Sebastian Veron,88,351500,403500,390000,395667,400000,400000,390000,382500,379500,370000,395000,390000,384500,380000,392000,380000,407500,399000,411500,385000,383667,380000,409000,401667,,370000
Frank Rijkaard,88,401850,436000,428500,423000,425000,435000,450000,453000,447500,435000,458000,449000,456000,430000,452500,444333,440000,457000,460000,462000,470000,464500,453000,455500,,423000
Robert Pires,88,156750,184000,180000,174500,173000,174000,173000,173000,173000,178500,165000,174000,170000,169000,167000,182500,188000,191500,194000,190000,192000,191000,180500,180500,,165000
Emmanuel Petit,88,585200,630500,642500,627500,623000,626000,635000,625000,637000,635000,627500,620000,635500,636500,635000,639000,616000,643000,639000,645000,636000,647500,835000,659333,,616000
Marc Overmars,88,291650,330000,340000,332000,335000,339000,329000,307000,329000,352000,352000,330000,326000,330000,350000,345500,341500,332500,349500,354000,357500,350000,360000,334000,,307000
Jari Litmanen,88,152000,170000,170000,171500,175000,165667,160000,162000,165000,169000,172333,177000,165000,172000,169000,166000,177500,173500,175000,175000,171000,178500,175000,173000,,160000
Frank Lampard,88,180500,209000,195000,199000,205500,200333,190000,197000,200500,200000,206333,190000,201500,199000,200000,190000,205500,207500,214500,203000,199000,220000,217000,217500,,190000
Roy Keane,88,304000,342500,346000,334500,333500,335000,330000,331000,327500,322500,320000,345000,342500,337500,326000,322500,326000,328333,345000,345000,329000,330000,330000,342500,,320000
Rui Costa,88,188100,202000,198000,205000,200000,198000,213500,211500,210000,214000,208000,198000,198000,206000,210000,208500,209000,204500,209000,210000,207000,204000,206500,200000,,198000
Patrick Vieira,88,2508000,2650000,2658000,2658000,2644000,2694500,2694000,2690000,2690000,2699000,2699000,2699000,2697000,2665000,2699000,2699000,2670000,2701000,2734500,2727000,2699500,2750000,2682500,2640000,,2640000
Clarence Seedorf,88,809400,875000,877000,880000,889500,873000,853500,852000,877500,890000,884500,890000,890000,907500,904000,892500,883500,880500,879000,896000,878000,886500,880000,879000,,852000
Lothar Matthaus,88,947625,1000000,997500,998000,1005000,1010000,1015000,1015000,1020000,1010000,1010000,1008000,1006500,1005000,1010000,1033000,1029000,1038000,1020000,1015000,1028000,1025000,1012000,1007000,,997500
Christian Vieri,88,139650,158000,157000,158000,156000,159333,150000,150000,150500,149000,148000,147000,150000,164000,159000,161000,155000,153000,159000,160000,159500,155000,154500,157000,,147000
Andriy Shevchenko,88,174800,188000,189500,189000,190000,184000,190000,187000,195000,194000,195000,195000,195000,195000,198000,194000,195000,199000,199500,201500,200000,197000,202333,190000,,184000
Michael Owen,88,270750,308000,294667,292000,291000,305000,305000,306333,301000,297500,290000,308000,295000,294000,308000,302500,295500,294667,300000,290000,285000,305000,304000,315500,,285000
Luis Figo,88,483550,530000,531000,528500,525500,510000,514500,509000,525000,524500,522000,528000,517500,510000,528000,533000,549000,535000,525000,520000,527500,549000,542000,530000,,509000
Patrick Kluivert,88,200450,219000,232000,231000,220667,224000,228500,218500,220000,230000,230000,226500,230000,227500,230000,235000,225000,224000,212500,215000,211000,231000,238000,237000,,211000
Raul,88,305900,332000,327000,335500,329000,327000,330500,322000,331500,325500,323000,325000,338000,335000,329000,329000,335000,330000,333500,325667,322000,337500,330000,330000,,322000
George Best,88,907250,985000,975000,975000,976000,984000,970000,969000,969000,959500,985000,975000,986000,986000,985500,976000,955000,980000,970000,984000,970000,970000,960000,974000,969000,955000
Eric Cantona,88,1425000,1515000,1500000,1579500,1560000,1594000,1563333,1548000,1544000,1537500,1535000,1548000,1598000,1585000,1590000,1625000,1578000,1525000,1515000,1589500,1562500,1525000,1546000,1517500,1529000,1500000
Xavi,88,446500,495000,506000,490000,495000,490000,480000,470000,485000,475000,470000,486500,491000,491000,500000,488000,490000,497000,492000,513000,509000,510333,495000,485000,485000,470000
Petr Cech,88,276450,309000,317000,319000,313500,309000,310000,315000,315000,315000,317000,310000,317000,317000,317000,315500,304000,295000,297500,302500,311000,304500,315000,305000,291000,291000
Fernando Torres,88,750500,818000,842000,824000,800000,790000,790000,830000,820000,815000,825000,838500,824000,813000,805000,813000,800000,805000,812667,842000,822500,805000,835000,819500,810000,790000
Nemanja Vidic,88,281200,300000,310000,309000,297000,307000,300000,313000,298000,296000,319000,323000,324500,313000,320000,303000,303000,300000,315000,319000,317000,317000,319000,313000,315000,296000
Carlos Alberto Torres,87,846450,910000,910000,910000,900000,915000,905500,900500,891000,912500,932000,941500,929500,921000,916500,932000,940000,910000,895500,940000,925000,935000,930000,929500,899000,891000
Didier Drogba,87,513000,582000,560000,548500,560000,573000,571500,568500,567000,571000,570000,540000,562500,550000,560000,570000,564500,575000,584667,574000,565000,580667,560000,552000,595000,540000
Hugo Sanchez,87,296400,329500,331500,325000,320500,340000,328000,347000,346000,332000,330000,346500,340000,340333,329000,327000,328000,325000,339000,325000,330000,322000,312000,315000,350000,312000
Ian Rush,87,180500,195333,190000,197000,197000,199000,198000,204000,205000,200000,193000,200000,197000,196000,194000,202500,198000,193000,201500,193500,200000,209000,211500,200000,205000,190000
Ian Wright,87,152950,166333,174000,170000,166000,175000,175000,177000,176000,172500,169000,168500,163000,161000,177000,179000,182500,177500,170000,187000,182500,181500,166000,171000,174000,161000
John Barnes,87,169100,186000,187000,193500,195000,190000,200000,195500,188000,185000,189000,185000,178000,189000,190000,199000,190000,187000,200667,199000,193500,190000,198000,196500,191000,178000
Kenny Dalglish,87,857216.35,922500,915000,902333,925000,935000,947500,946000,948500,948000,947000,950000,950000,951000,934500,942500,959000,950000,946500,920000,920000,930000,956500,944333,,902333
Gianluca Zambrotta,87,323000,362500,359000,360000,366500,357500,349667,360000,374000,365000,362000,354000,362500,352500,348500,348000,365000,380000,376333,347000,340000,366000,377000,459667,,340000
Michael Essien,87,551950,581000,590000,616000,619500,624500,629500,612500,585000,601500,600000,613500,610500,599667,601500,593000,610000,639000,611667,640000,679000,622000,607500,607000,,581000
Pep Guardiola,87,262200,291000,295000,283000,290000,292000,295000,297000,276000,278000,285000,287000,286000,299000,299500,294500,292000,295000,288000,300000,340000,307500,302000,310000,,276000
Kaka,87,546250,602000,607000,610000,617000,621500,612500,607000,610000,611500,611000,611500,610500,598000,575000,617000,665000,659500,642000,648500,643500,620000,653500,620333,,575000
Edwin van der Sar,87,320150,396000,391500,393000,389000,377500,367500,352500,350000,370000,357500,355000,373000,376500,355000,368500,375000,350000,367500,346000,337000,352000,360000,355000,,337000
Sol Campbell,87,503500,544500,560000,560000,573000,580000,570000,555000,577500,574000,570000,564500,549000,549000,545000,530000,596000,594000,573000,594000,588000,592500,575000,575000,,530000
Marcel Desailly,87,854050,943000,958000,937500,924000,926500,904500,899000,900000,900000,900000,900000,900000,938500,936000,935000,958000,975000,972500,994000,990000,978000,937500,924667,,899000
Javier Zanetti,87,308750,325000,349500,338000,356000,355000,327500,325000,347000,347000,347000,375000,348000,340000,345000,329000,375000,350000,335500,343000,329000,348000,350000,335000,,325000
Bobby Moore,87,203300,228000,222500,219500,235000,226000,214000,228000,226000,234000,231500,235000,240000,237000,236000,230000,237000,240000,235000,237000,242667,226000,219000,219000,,214000
Fabio Cannavaro,87,631750,680000,732000,710000,719500,724000,715500,692500,680000,699000,695000,695000,690000,690000,690000,702000,699500,682500,679000,680000,697500,665000,696500,684500,,665000
Gennaro Gattuso,87,232275,250000,260000,249000,250000,265000,244500,299500,270000,292000,273333,255000,275000,295000,287000,285000,284500,301500,289500,277500,267500,272000,279000,260000,,244500
Jay-Jay Okocha,87,177650,198000,196500,195000,187000,197000,189000,199000,199000,192500,200000,200000,195000,204000,190000,197333,190000,200500,202000,195000,201500,198000,195500,197000,,187000
Claude Makelele,87,483550,522500,509000,512000,546000,526000,713500,616500,562500,530000,536500,550000,542500,548500,539000,518000,522500,541500,587000,597000,583667,559000,538000,520000,,509000
Deco,87,147250,165000,164000,160000,164000,165000,165000,155000,161500,156000,166500,165000,165000,167500,155000,170500,167000,165500,165500,172000,169333,163000,163000,171500,,155000
Paul Scholes,87,190000,204500,200000,216000,211500,207000,220000,220000,223000,224000,224000,224000,224000,224000,224000,219500,215000,215000,219500,218000,218000,218000,220000,220000,,200000
Socrates,87,361000,389000,398500,398000,413000,405000,415500,411000,413500,405000,412000,397000,396500,396000,396000,380000,414000,410000,405000,397000,397000,395000,396500,391000,,380000
Ryan Giggs,87,178600,197500,199000,195500,193000,208000,212000,199000,188000,200000,198500,210000,200000,207500,204000,205000,201000,194000,197000,197000,197500,197000,192500,197000,,188000
Gianfranco Zola,87,408500,444000,434500,430000,454500,445000,458000,440000,438000,454000,467500,455000,463500,430000,430000,454500,453000,462000,468000,460000,451500,449000,442000,447000,,430000
Henrik Larsson,87,141550,152000,153000,153500,151000,157000,154000,150000,154000,150000,157000,153500,150000,153500,152000,155000,155000,157000,149000,158000,160000,160000,161000,158000,,149000
Filippo Inzaghi,87,139650,150000,147000,147500,156000,154667,153000,150000,153000,153000,153000,150000,147000,153500,150000,154000,156000,155500,150000,152000,149500,151000,153000,159500,,147000
Luis Hernandez,87,356250,395000,382000,394000,400000,392000,397500,380000,375000,400000,398000,403000,401000,393000,392500,394000,405000,405000,411000,414000,423500,411000,411000,414500,,375000
Hernan Crespo,87,270750,295000,293333,291000,300000,302667,285000,291500,290000,299000,295000,300000,299500,299000,287000,297500,285000,306500,310000,309500,310000,314000,302500,315500,,285000
Hristo Stoichkov,87,420850,470000,469000,450000,448500,443000,485000,460000,483500,482000,478500,450000,473000,473000,479500,467000,470000,463000,479500,469000,470000,460000,480500,460000,,443000
Alan Shearer,87,151050,164000,160000,161000,161500,165000,165000,166000,166000,168000,166500,165000,168000,168000,165500,165000,162000,159000,165000,165000,165000,168000,169000,168000,,159000
Gary Lineker,87,154850,163000,175000,172500,166500,165000,166000,166000,175000,178000,179000,189500,179000,178000,177000,176000,173000,165000,170000,172000,178000,177500,164333,166000,,163000
Miroslav Klose,87,142500,156000,150000,153000,152500,155000,154000,155000,156000,156000,156000,157000,160000,155000,154500,154000,155500,156000,157000,156000,157000,156000,154500,154000,,150000
Alessandro Del Piero,87,658350,729000,739000,739000,735000,693000,741000,757500,740000,765000,767000,762500,754000,748000,748000,761000,764000,750000,730000,738000,717000,748000,740000,750000,,693000
Emilio Butragueno,87,664050,765000,726000,724000,723000,733000,740000,720000,751000,746000,765000,757000,699000,759000,752000,728000,720000,737000,720000,729000,725000,725000,733000,752000,769000,699000
Dennis Bergkamp,87,193325,223000,211333,203500,220000,228000,228000,226500,229000,213000,229000,227500,224500,220000,220000,230000,223000,210000,226000,220000,234000,237000,224500,223000,224000,203500
Thierry Henry,87,492100,518000,604000,543000,550000,584000,595000,535000,545000,580000,587500,555000,545000,530000,552500,549000,564000,600000,583500,566000,547500,548000,577500,575000,565000,518000
Rivaldo,87,349600,381500,386500,389000,388000,404500,395500,383500,380000,394000,390000,394000,394000,386000,384500,368000,389000,385500,370000,377500,371500,380000,379000,372500,395000,368000
Juan Roman Riquelme,87,173850,195000,184000,190000,194000,183000,184000,190500,195000,195000,195000,195000,195000,193500,194000,190000,190667,190000,197000,190000,197000,190000,198000,194000,185000,183000
Samuel Eto'o,87,1403150,1530000,1500000,1513000,1477000,1520000,1532000,1523500,1529500,1520000,1515000,1537500,1535000,1532000,1523000,1505000,1490000,1505000,1489333,1531000,1520000,1528000,1501000,1485000,1520000,1477000
Phillip Lahm,87,445550,494333,510000,497500,495000,497000,492500,490000,479000,469000,471500,470000,480000,478500,477000,484500,475000,495000,509500,512000,514000,499000,499000,490000,477000,469000
Bastian Schweinsteiger,87,313500,359000,358000,330000,360000,365000,349000,344000,350000,337000,338000,337000,347000,342500,337000,330000,345000,334500,372500,355000,362000,356500,357500,350000,400000,330000
Ashley Cole,87,253650,267000,282500,303500,285500,282500,283000,289000,279500,270000,280000,280000,274500,277500,280000,283000,279000,292500,285000,291000,287500,290000,297500,294000,294000,267000
Davor Suker,87,320150,361000,368000,360000,354000,362000,340000,350500,337000,341000,357500,349000,359500,350000,364500,370000,366500,363000,350000,355500,351000,353000,352000,349000,366000,337000
David Beckham,87,788500,840000,899000,840000,878000,888500,873500,869000,869000,884000,865000,865000,882000,865000,859000,892500,855000,859000,851500,840000,830000,899000,898000,890500,880000,830000
John Barnes,86,216600,236500,232500,244000,244500,251000,229000,230000,235000,251000,250000,232000,239500,229000,247000,232000,230500,228000,235000,239000,245000,233500,242000,242000,241000,228000
Gianluca Zambrotta,86,455050,487000,479000,518000,521000,508500,499000,490000,505000,490000,529000,685000,500000,496500,482000,509000,510500,540000,534000,537500,539000,515000,540000,515000,,479000
Peter Schmeichel,86,164350,187333,177500,174500,176500,175000,175000,190500,187500,185500,185000,189000,180000,189000,189000,175000,189000,188000,180000,182000,177333,173000,177000,173000,,173000
Fernando Hierro,86,218500,238000,245000,243000,247000,242500,235000,230000,243500,242500,233000,245000,236000,236000,236000,248000,247000,246000,246500,246500,252500,250000,253500,249000,,230000
Roberto Carlos,86,464550,575000,550000,538500,523500,520000,535000,515000,495500,489000,492500,503500,509000,490000,513000,509500,509000,510000,510000,550000,555000,497000,555000,537500,,489000
Puyol,86,199500,233000,231000,220000,246500,244000,244000,242000,240000,239000,239000,230000,234500,240000,244000,242500,237500,235000,226000,229000,210000,237000,231000,218500,,210000
Hidetoshi Nakata,86,137750,153500,152000,158000,150000,148500,150000,155000,155000,155000,157000,159000,158500,153000,150000,145000,152000,158333,154500,152000,153000,152500,157500,163000,,145000
Juan Sebastian Veron,86,258400,282000,303000,280000,272000,296000,325000,310000,305000,320000,320000,340000,340000,311000,300000,304000,288500,281000,278000,284000,295000,300000,284000,284000,,272000
Frank Rijkaard,86,218500,246500,281500,247667,245000,240000,253500,240000,238000,240000,253000,251000,251000,249000,242500,259000,248000,230000,245000,248500,230000,259000,253000,256500,,230000
Marc Overmars,86,147250,166000,167500,164500,162000,168000,167000,170000,171000,165000,162000,160000,170000,168000,170000,169500,167000,166500,170000,174000,174000,162000,155000,161500,,155000
Frank Lampard,86,218500,253000,242500,235000,236000,249500,250000,250000,249500,249000,249000,249000,249000,249000,245000,244000,239000,247000,239500,230000,239000,240000,240000,250000,,230000
Roy Keane,86,185250,200000,222500,207500,210000,210000,210000,229000,219500,202500,195000,224000,224000,224000,229333,220000,222000,218000,225000,227500,236000,220500,231500,210000,,195000
Patrick Vieira,86,1534250,1619000,1625000,1625000,1620000,1615000,1637000,1637000,1637000,1637000,1637000,1637000,1659500,1650000,1650000,1653000,1669000,1660000,1678000,1635000,1637000,1680000,1680000,1664000,,1615000
Pavel Nedved,86,297350,322500,320000,315667,313000,326000,318000,395000,337000,331500,322500,315000,339500,333000,327000,360000,400500,342500,337000,348000,328000,348500,340000,333000,,313000
Steven Gerrard,86,356250,375000,379500,387000,382000,388500,387000,390000,390000,390000,388500,390000,375000,399500,397500,395000,405000,407500,405000,396333,390000,393000,389000,384000,,375000
Michael Ballack,86,373825,397000,395000,397500,393500,400000,415500,445000,450000,425000,425000,420000,420000,419500,419000,419500,405000,408000,405000,410500,405000,410000,429000,437500,,393500
Ruud Gullit,86,1011750,1065000,1098000,1075000,1115000,1105000,1133500,1131500,1105500,1080000,1065000,1115000,1115000,1130000,1110000,1075000,1067500,1117000,1082500,1090000,1102500,1072500,1109000,1119500,,1065000
Christian Vieri,86,137750,157500,152500,152000,151000,157000,150000,152000,151000,150000,155000,145000,162000,155000,152000,154000,155000,157000,148500,148000,149000,150000,149000,155000,,145000
Henrik Larsson,86,175750,190000,190000,191500,186500,185000,195000,195000,194000,194000,203000,203000,203000,190000,200500,202000,195000,199500,199000,188500,201000,190000,197500,190000,,185000
Ruud van Nistelrooy,86,142500,156000,157333,157000,157500,154000,153000,150000,157000,157500,157000,156000,155000,156500,155000,155000,155000,154000,156000,152000,155000,156000,156500,154000,,150000
David Trezeguet,86,141550,153500,149000,152000,156000,153000,157000,157000,159000,150000,160000,150000,150000,155000,155000,158000,165500,161000,163000,165500,167000,158000,159500,161000,,149000
Andriy Shevchenko,86,266950,281000,282000,300000,300000,297500,283000,302000,300000,300000,299500,302000,302000,301000,305000,300000,303000,315000,311000,305000,306000,303000,301500,300000,,281000
Michael Owen,86,152000,163000,165667,161000,169000,166000,169000,173000,170000,167500,165000,171500,170000,173000,170500,167000,160000,172667,168000,165000,175000,170000,172000,169000,,160000
Patrick Kluivert,86,180500,194000,190667,196000,201000,203000,203000,200000,197500,190000,200000,198000,198000,196500,191000,197000,195500,202000,200500,197000,203500,199000,201500,204000,,190000
Raul,86,146300,158000,157000,158500,159000,166500,165000,167500,165000,167000,166000,168000,161000,168000,168000,154000,168000,169000,167000,169500,165000,165000,160000,155000,,154000
Petr Cech,86,236550,250000,266500,262000,268000,268000,268000,270000,276500,274000,279000,277000,275000,274500,270000,272500,270000,265000,251000,249000,255000,266000,265000,265000,260000,249000
Ian Wright,85,209000,220000,229000,227000,227000,227000,225000,230000,235000,230000,235000,232500,230000,229500,228000,232000,231000,234000,225000,233000,234000,235000,234000,240000,245000,220000
Michael Essien,85,722000,864500,830000,834000,827500,810000,779000,790000,798000,798000,794000,770000,760000,802000,809000,829000,833500,841500,839500,809000,809000,794000,826500,809000,,760000
Ronald Koeman,85,171950,185667,183000,181000,199000,191000,191667,185000,197000,199000,199000,195000,189500,189000,189000,196500,194000,194000,200000,188000,195000,202000,188000,185000,,181000
Pep Guardiola,85,204250,215000,222000,220000,235000,218000,224500,229000,235000,235000,234000,230000,229500,225000,238000,234667,235000,240000,231000,240000,240000,227000,219000,238000,,215000
Sol Campbell,85,536750,599667,609000,603000,592500,567500,565000,579000,579000,600000,600000,595500,591000,591000,601500,596500,594000,603500,599000,625000,625000,622500,620000,625000,,565000
Rio Ferdinand,85,817000,900000,900000,922000,927500,920000,917000,920000,920000,938000,950000,939000,895000,978000,957000,890000,950000,875000,950000,925000,920000,885000,860000,900000,,860000
Laurent Blanc,85,878750,939000,967000,948000,947000,958500,949333,937500,925000,935000,949000,958000,945000,949000,989000,1023000,997000,989000,969000,969000,979500,975000,967500,971333,,925000
Hidetoshi Nakata,85,142975,158000,157000,160000,157000,155000,160500,160000,159000,163000,161500,157000,157000,156500,156000,152500,150500,150500,162500,162000,164333,160000,165000,161000,,150500
Gennaro Gattuso,85,298300,354000,333000,323500,340000,345000,328000,319000,322000,330000,330000,330000,330000,320000,331500,324000,324500,317000,450000,334000,314000,335000,374000,349667,,314000
Robert Pires,85,139650,150500,147000,150000,158000,157000,158000,159000,159000,159000,159000,159000,159000,159000,159000,158500,163500,152000,150000,155000,162000,155000,155000,157000,,147000
Emmanuel Petit,85,217550,237500,236500,230000,247000,245000,235000,235000,230000,245000,240000,245000,245000,247500,249000,237000,230000,235000,239000,238000,230000,229000,240000,239000,,229000
Jay-Jay Okocha,85,285000,304000,300000,320000,310000,327667,325000,318500,311000,320000,322500,324000,309000,315000,310000,324000,325000,326000,392000,330000,323000,310000,316000,312500,,300000
Claude Makelele,85,273125,298000,295000,287500,293500,296000,315000,310000,314500,314500,314000,315000,314500,314000,310000,295000,305000,314000,310000,307500,297000,307000,311500,299500,,287500
Jari Litmanen,85,136325,156500,152000,149000,148500,146500,143500,145000,149000,150000,150000,150000,160500,156000,153000,147000,150000,151000,150000,148500,151000,146000,149000,148000,,143500
Deco,85,140600,149000,150000,151000,151000,152000,150000,152000,149500,153000,153000,154000,155000,155000,154500,155000,155000,152500,148000,153500,151000,160500,158000,158000,,148000
Rui Costa,85,152000,167000,169000,160000,171000,168000,173000,173000,171000,165000,164500,160000,160000,173500,173000,173000,167000,165000,166000,165000,174000,165000,160000,169000,,160000
Clarence Seedorf,85,589000,620000,674000,641333,654000,641667,635000,635000,645000,674000,671500,669000,662000,649000,655000,645000,648000,647000,646000,630000,654000,655000,663500,661000,,620000
Michael Laudrup,85,160550,170000,170000,169500,169000,176500,179000,178500,173500,170500,169000,178000,178000,180000,182000,184000,183000,183500,180000,185000,185000,199500,187500,183000,,169000
Gheorghe Hagi,85,218500,233000,233500,244500,241000,244667,247000,255000,253500,247500,244500,231000,250000,250000,252000,247500,245000,235000,230000,238500,245000,248000,238000,244500,,230000
Gianfranco Zola,85,554800,590000,584000,592000,590000,626000,609500,609000,629000,628000,628000,625000,622500,615000,599000,610000,610000,627000,620000,620000,610000,627000,612000,636500,,584000
